Date,Open,High,Low,Close,Volume
30-09-2025,3843.4,3844.9,3842.4,3843.8,1521
11-07-2025,3324.2,3368.8,3321.8,3357.6,86088
10-07-2025,3314,3330.3,3310.1,3323.9,71678
09-07-2025,3302.4,3316.8,3282.8,3313.6,75758
08-07-2025,3339,3345.8,3287.1,3301.5,84705
07-07-2025,3335.9,3342.8,3296.5,3336.2,82706
04-07-2025,3325.5,3344.2,3323.6,3337,30628
03-07-2025,3358.1,3365.7,3311.7,3325.9,42404
02-07-2025,3339,3360.1,3327.6,3356.9,72230
01-07-2025,3303.4,3357.9,3302.4,3338.8,77928
13-06-2025,3386,3446.8,3379.8,3432.1,92579
12-06-2025,3356.6,3398.8,3338.7,3386.7,99415
11-06-2025,3322.2,3360.7,3315.5,3354.8,94367
10-06-2025,3325.9,3349.1,3301.9,3322.4,92073
09-06-2025,3314,3338.2,3293.6,3325.4,89295
06-06-2025,3354,3375.6,3307.1,3312.1,92933
05-06-2025,3373.4,3403.3,3339.6,3352.6,92514
04-06-2025,3354.7,3384.7,3343.8,3372.6,92464
03-06-2025,3382.8,3392.2,3333.2,3353.3,83435
02-06-2025,3298.4,3382.9,3295.9,3381.6,87954
30-05-2025,3318.4,3322.7,3271.8,3288.7,93320
29-05-2025,3287.7,3331.2,3245.5,3317.6,105319
28-05-2025,3301,3325.4,3276.9,3288.6,84113
27-05-2025,3343.9,3349.8,3284.9,3300.6,91570
26-05-2025,3353.9,3356.8,3323.5,3342.2,59937
23-05-2025,3294.5,3365.9,3287.1,3357.9,97109
22-05-2025,3316.1,3345.3,3279.4,3294.7,100750
21-05-2025,3289.9,3324.8,3285.6,3315.1,101469
20-05-2025,3230.8,3295.7,3204.6,3289.7,94589
19-05-2025,3219.7,3249.8,3206.4,3230.1,95835
16-05-2025,3238.3,3252.1,3154.4,3201,99147
15-05-2025,3178.4,3240.5,3120.8,3239.6,89383
14-05-2025,3249.7,3257.1,3168,3177.4,88022
13-05-2025,3238.8,3265.4,3216,3250,96281
12-05-2025,3291.5,3299.7,3207.7,3234.4,107179
09-05-2025,3308,3347.5,3274.9,3327.2,86055
08-05-2025,3365.7,3414.8,3288.8,3305.9,90866
07-05-2025,3437.7,3437.9,3360.2,3364.4,93712
06-05-2025,3336.1,3434.8,3323.5,3430.5,90726
05-05-2025,3240.9,3337.5,3237.4,3334,87858
02-05-2025,3240.4,3269.3,3222.8,3240.3,103099
01-05-2025,3288.7,3290.2,3201.9,3237.9,101000
04-04-2025,3115.4,3136.6,3015.8,3038.2,97179
03-04-2025,3140.3,3167.7,3054.1,3114.2,99601
02-04-2025,3114.2,3142.1,3104.5,3132.1,83654
01-04-2025,3123.2,3149,3100.9,3114.1,78809
21-03-2025,3044.4,3047.4,2999.6,3023.2,69297
20-03-2025,3048.4,3057.3,3025.5,3044.5,77931
19-03-2025,3034,3051.8,3022.9,3047.2,68372
18-03-2025,3000.8,3038.3,2999.6,3033.8,76386
17-03-2025,2983.8,3002,2982.2,3001,63203
14-03-2025,2989.4,3004.9,2978.5,2986.2,79493
13-03-2025,2934.5,2989.1,2933,2988.8,73352
12-03-2025,2915.8,2940.6,2906,2933.3,75738
11-03-2025,2888.3,2922,2880.3,2915.5,69043
10-03-2025,2912.7,2918.2,2880.3,2889.2,82830
07-03-2025,2911,2930.3,2894.8,2911.9,98005
06-03-2025,2919.7,2926.5,2891.1,2910.7,89678
05-03-2025,2918.1,2930.1,2894.3,2919.1,95328
04-03-2025,2892.4,2927.8,2882,2917.7,90567
03-03-2025,2857.9,2895.3,2857.9,2893,94797
28-02-2025,2877.1,2885.1,2832.6,2859.1,100955
27-02-2025,2916.8,2920.8,2867.8,2877.1,93444
26-02-2025,2915.1,2930.1,2890.8,2916.1,81185
25-02-2025,2952.6,2953.8,2888.3,2914.8,94373
24-02-2025,2934.7,2956.2,2921.3,2952.6,85776
21-02-2025,2938.8,2949.6,2916.7,2935.9,84923
20-02-2025,2933.5,2954.9,2924.3,2939.1,83516
19-02-2025,2935.7,2947.1,2918.6,2933,84281
18-02-2025,2898.6,2937.1,2892,2935.1,72253
17-02-2025,2883.1,2906.4,2877.6,2899.5,69702
14-02-2025,2927.6,2940.1,2877,2882.5,96772
13-02-2025,2904.4,2929.5,2900.6,2928.3,86887
12-02-2025,2898,2909.2,2863.5,2904,92459
11-02-2025,2907.9,2942.6,2881.8,2897.5,103139
10-02-2025,2857.2,2911.8,2854.8,2907.9,92001
07-02-2025,2855.7,2886.7,2852.4,2861.3,85320
06-02-2025,2864.9,2873.3,2834.1,2855.6,91182
05-02-2025,2842.7,2882.5,2839.7,2867,90945
04-02-2025,2814.6,2845.5,2807.2,2842,96838
03-02-2025,2804.2,2830.4,2772.2,2814.8,107358
31-01-2025,2795.1,2817.2,2791,2798.5,91210
30-01-2025,2759.6,2798.5,2758.2,2794.1,83835
29-01-2025,2763.2,2766.2,2744.8,2759.7,83303
28-01-2025,2739.9,2765.1,2734.8,2763.2,83114
27-01-2025,2769.8,2772.5,2730.5,2740.7,99704
24-01-2025,2754.6,2785.9,2753.5,2771.5,87370
23-01-2025,2756.2,2758.9,2735.6,2754.5,85621
22-01-2025,2745.2,2763.5,2741.1,2756.2,84738
21-01-2025,2708.3,2746,2702.8,2744.7,92790
20-01-2025,2703.1,2713.8,2689.3,2706.7,69969
17-01-2025,2714.4,2717.4,2698.5,2702.9,80490
16-01-2025,2695,2724.8,2690,2714.3,86394
15-01-2025,2678.4,2697.6,2669.4,2696.3,81616
14-01-2025,2663.6,2678.4,2659.9,2677.4,88452
13-01-2025,2690.2,2693.3,2656.8,2663,93434
10-01-2025,2670.3,2698,2664,2689,89266
09-01-2025,2661.3,2678.2,2655.5,2670.3,67495
08-01-2025,2648.5,2670,2645.3,2661.4,80604
07-01-2025,2636.1,2664.3,2633,2648.4,70702
06-01-2025,2641.5,2649.5,2614.5,2635.8,83848
03-01-2025,2658.3,2665.2,2636.5,2640,74593
02-01-2025,2624.5,2660.5,2621.5,2658,83419
31-12-2024,2605.7,2627.6,2602.6,2624.6,69268
30-12-2024,2621,2628.1,2596.1,2606,69847
27-12-2024,2635.7,2638.3,2611.7,2621.5,69633
26-12-2024,2616.1,2639.1,2614.1,2633.5,63754
24-12-2024,2613.1,2621.5,2610,2616.6,56605
23-12-2024,2620.8,2633.2,2608.1,2612.8,77618
20-12-2024,2594.8,2631.8,2589.7,2623,84572
19-12-2024,2585.5,2626.4,2582.9,2594.4,90171
18-12-2024,2646.3,2651.7,2583.6,2585.3,82407
17-12-2024,2652.7,2658.6,2633,2646.4,82723
16-12-2024,2650.7,2664.2,2643.5,2652.6,74306
13-12-2024,2681,2692.8,2645.7,2648.8,96541
12-12-2024,2717.6,2726.2,2675,2680.6,97260
11-12-2024,2694,2721.1,2674.9,2718,100382
10-12-2024,2660.9,2695.5,2657.9,2693.8,92398
09-12-2024,2643.9,2676.3,2627.6,2660.2,98808
06-12-2024,2631.8,2645.6,2612.3,2632.7,91127
05-12-2024,2649.6,2655.5,2623.5,2631.7,87579
04-12-2024,2643.3,2657,2632.3,2649.9,93798
03-12-2024,2639.2,2655.6,2634.1,2643.5,91928
02-12-2024,2652,2652.7,2621.9,2638.6,103110
29-11-2024,2637.6,2666.4,2634,2650.3,86260
28-11-2024,2637.8,2649.6,2620.9,2637.1,64090
27-11-2024,2630.5,2658.2,2627,2636,89383
26-11-2024,2625,2641.9,2604.9,2633,100386
25-11-2024,2692.3,2721.3,2615.6,2625.5,105609
22-11-2024,2669.7,2715.5,2668.2,2715.3,102746
21-11-2024,2649.8,2673.5,2648.6,2669.4,94033
20-11-2024,2632,2655.4,2618.9,2650.1,94155
19-11-2024,2611.7,2639.4,2610.2,2632.1,96397
18-11-2024,2564.9,2615,2564.8,2611.7,97519
15-11-2024,2565.1,2576.1,2554.6,2561.8,100256
14-11-2024,2574.8,2581.3,2536.8,2564.5,109662
13-11-2024,2598.5,2618.8,2572.7,2572.7,97489
12-11-2024,2619.5,2627.1,2589.8,2598,101759
11-11-2024,2683,2686.2,2610.6,2619.3,96185
08-11-2024,2705.8,2710.4,2680.4,2684.2,97232
07-11-2024,2659.2,2710.3,2643.3,2706.2,104394
06-11-2024,2743.3,2749.7,2652.4,2658.9,119755
05-11-2024,2736.8,2749.9,2724.7,2743.7,89174
04-11-2024,2738.1,2748.2,2730.6,2736.5,96948
01-11-2024,2743.9,2762.3,2733.2,2735.8,95509
31-10-2024,2787.9,2790.1,2731.6,2743.8,91037
30-10-2024,2774.1,2790.1,2770.9,2787.2,92262
